date Tue May 26 16:01:26.963 2026
base hex  timestamps absolute
internal events logged
Begin Triggerblock Tue May 26 16:01:27.76 2026
 0.000000 Start of measurement
 0.000000 CANFD   1 Tx        716                                   1 0 8  8 02 10 02 00 00 00 00 00        0    0     3000        0        0        0        0        0
 0.015348 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 10 78 AA AA AA AA        0    0     3000        0        0        0        0        0
 18.052833 CANFD   1 Tx        716                                   1 0 8  8 02 27 01 00 00 00 00 00        0    0     3000        0        0        0        0        0
 18.064232 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 12 AA AA AA AA        0    0     3000        0        0        0        0        0
 18.242569 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 18.264158 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 18.387312 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 18.404215 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 18.524567 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 18.544230 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 18.670859 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 18.684304 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 18.816649 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 18.834306 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 18.961927 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 18.984262 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 19.106257 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 19.124237 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 19.252072 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 19.274315 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 19.398328 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 19.414285 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 19.539986 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 19.554296 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 19.632802 CANFD   1 Tx        716                                   1 0 8  8 02 27 11 00 00 00 00 00        0    0     3000        0        0        0        0        0
 19.654354 CANFD   1 Rx        71E                                   1 0 8  8 10 0A 67 11 D9 78 2A 0A        0    0     3000        0        0        0        0        0
 19.667731 CANFD   1 Tx        716                                   1 0 8  8 30 08 0A 00 00 00 00 00        0    0     3000        0        0        0        0        0
 19.669177 CANFD   1 Rx        71E                                   1 0 8  8 21 C6 48 A5 D2 AA AA AA        0    0     3000        0        0        0        0        0
 37.307968 CANFD   1 Tx        716                                   1 0 8  8 02 27 11 00 00 00 00 00        0    0     3000        0        0        0        0        0
 37.314475 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 37.449395 CANFD   1 Tx        716                                   1 0 8  8 02 27 11 00 00 00 00 00        0    0     3000        0        0        0        0        0
 37.454442 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 37.589474 CANFD   1 Tx        716                                   1 0 8  8 02 27 11 00 00 00 00 00        0    0     3000        0        0        0        0        0
 37.594346 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 37.714575 CANFD   1 Tx        716                                   1 0 8  8 02 27 11 00 00 00 00 00        0    0     3000        0        0        0        0        0
 37.724495 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 37.851466 CANFD   1 Tx        716                                   1 0 8  8 02 27 11 00 00 00 00 00        0    0     3000        0        0        0        0        0
 37.854440 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 37.986414 CANFD   1 Tx        716                                   1 0 8  8 02 27 11 00 00 00 00 00        0    0     3000        0        0        0        0        0
 37.994451 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 38.128244 CANFD   1 Tx        716                                   1 0 8  8 02 27 11 00 00 00 00 00        0    0     3000        0        0        0        0        0
 38.134419 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 38.257053 CANFD   1 Tx        716                                   1 0 8  8 02 27 11 00 00 00 00 00        0    0     3000        0        0        0        0        0
 38.264471 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 38.394343 CANFD   1 Tx        716                                   1 0 8  8 02 27 11 00 00 00 00 00        0    0     3000        0        0        0        0        0
 38.404407 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 38.537358 CANFD   1 Tx        716                                   1 0 8  8 02 27 13 00 00 00 00 00        0    0     3000        0        0        0        0        0
 38.544577 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 38.675794 CANFD   1 Tx        716                                   1 0 8  8 02 27 13 00 00 00 00 00        0    0     3000        0        0        0        0        0
 38.684843 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 38.814800 CANFD   1 Tx        716                                   1 0 8  8 02 27 13 00 00 00 00 00        0    0     3000        0        0        0        0        0
 38.824427 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 38.954398 CANFD   1 Tx        716                                   1 0 8  8 02 27 13 00 00 00 00 00        0    0     3000        0        0        0        0        0
 38.964380 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 39.096706 CANFD   1 Tx        716                                   1 0 8  8 02 27 13 00 00 00 00 00        0    0     3000        0        0        0        0        0
 39.104405 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 39.236552 CANFD   1 Tx        716                                   1 0 8  8 02 27 13 00 00 00 00 00        0    0     3000        0        0        0        0        0
 39.244418 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 39.375681 CANFD   1 Tx        716                                   1 0 8  8 02 27 13 00 00 00 00 00        0    0     3000        0        0        0        0        0
 39.384434 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 39.514909 CANFD   1 Tx        716                                   1 0 8  8 02 27 13 00 00 00 00 00        0    0     3000        0        0        0        0        0
 39.524438 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 39.654881 CANFD   1 Tx        716                                   1 0 8  8 02 27 13 00 00 00 00 00        0    0     3000        0        0        0        0        0
 39.664431 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 39.796112 CANFD   1 Tx        716                                   1 0 8  8 02 27 13 00 00 00 00 00        0    0     3000        0        0        0        0        0
 39.804416 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 27 7F AA AA AA AA        0    0     3000        0        0        0        0        0
 39.940365 CANFD   1 Tx        716                                   1 0 8  8 10 0B 2E F1 97 4D 4B 42        0    0     3000        0        0        0        0        0
 39.940601 CANFD   1 Rx        71E                                   1 0 8  8 30 00 05 AA AA AA AA AA        0    0     3000        0        0        0        0        0
 39.956906 CANFD   1 Tx        716                                   1 0 8  8 21 44 4D 4B 42 44 00 00        0    0     3000        0        0        0        0        0
